Name: Ayush Jain
Date: 2020-04-27

IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
0, SHITOMASI, BRISK, 1370, 125, 21.6433, 2.7637, 0, 0
1, SHITOMASI, BRISK, 1301, 118, 17.0471, 2.4042, 95, 0.3009
2, SHITOMASI, BRISK, 1361, 123, 18.5491, 2.4403, 88, 0.1958
3, SHITOMASI, BRISK, 1358, 120, 18.1047, 2.6491, 80, 0.178
4, SHITOMASI, BRISK, 1333, 120, 19.8757, 2.5271, 90, 0.2172
5, SHITOMASI, BRISK, 1284, 113, 18.8243, 2.3674, 82, 0.2042
6, SHITOMASI, BRISK, 1322, 114, 18.5484, 2.376, 79, 0.2009
7, SHITOMASI, BRISK, 1366, 123, 17.1859, 2.56, 85, 0.2126
8, SHITOMASI, BRISK, 1389, 111, 17.6863, 2.3504, 86, 0.2043
9, SHITOMASI, BRISK, 1339, 112, 19.2352, 2.8844, 82, 0.2011

0, SHITOMASI, BRIEF, 1370, 125, 17.5962, 2.2789, 0, 0
1, SHITOMASI, BRIEF, 1301, 118, 21.6119, 1.9703, 115, 0.1943
2, SHITOMASI, BRIEF, 1361, 123, 19.121, 2.3702, 111, 0.2282
3, SHITOMASI, BRIEF, 1358, 120, 20.3336, 2.0302, 104, 0.1997
4, SHITOMASI, BRIEF, 1333, 120, 17.936, 2.252, 101, 0.204
5, SHITOMASI, BRIEF, 1284, 113, 19.2757, 2.276, 102, 0.2317
6, SHITOMASI, BRIEF, 1322, 114, 19.0821, 2.2689, 102, 0.2055
7, SHITOMASI, BRIEF, 1366, 123, 18.1304, 2.2524, 100, 0.2175
8, SHITOMASI, BRIEF, 1389, 111, 19.4297, 2.1959, 109, 0.2372
9, SHITOMASI, BRIEF, 1339, 112, 18.8705, 2.3992, 100, 0.1798

0, SHITOMASI, ORB, 1370, 125, 18.3186, 4.5787, 0, 0
1, SHITOMASI, ORB, 1301, 118, 20.8738, 3.5177, 104, 0.2219
2, SHITOMASI, ORB, 1361, 123, 21.4853, 3.4767, 103, 0.2563
3, SHITOMASI, ORB, 1358, 120, 20.7502, 4.0426, 100, 0.1751
4, SHITOMASI, ORB, 1333, 120, 20.1631, 3.4942, 102, 0.2286
5, SHITOMASI, ORB, 1284, 113, 20.4754, 3.4543, 103, 0.2525
6, SHITOMASI, ORB, 1322, 114, 20.4386, 3.5367, 98, 0.227
7, SHITOMASI, ORB, 1366, 123, 19.784, 3.7827, 98, 0.2027
8, SHITOMASI, ORB, 1389, 111, 21.0338, 3.2697, 102, 0.1642
9, SHITOMASI, ORB, 1339, 112, 20.0104, 4.2277, 97, 0.1982

0, SHITOMASI, FREAK, 1370, 125, 21.5307, 37.36, 0, 0
1, SHITOMASI, FREAK, 1301, 118, 17.483, 31.7415, 90, 0.2237
2, SHITOMASI, FREAK, 1361, 123, 11.9416, 29.6763, 88, 0.2633
3, SHITOMASI, FREAK, 1358, 120, 8.0389, 30.9814, 87, 0.2056
4, SHITOMASI, FREAK, 1333, 120, 7.6001, 31.8549, 89, 0.1946
5, SHITOMASI, FREAK, 1284, 113, 9.7729, 32.4332, 83, 0.2059
6, SHITOMASI, FREAK, 1322, 114, 10.0003, 32.5833, 78, 0.2037
7, SHITOMASI, FREAK, 1366, 123, 11.3093, 32.4149, 81, 0.2205
8, SHITOMASI, FREAK, 1389, 111, 10.2071, 32.1709, 86, 0.2017
9, SHITOMASI, FREAK, 1339, 112, 9.424, 31.8786, 84, 0.1991

0, SHITOMASI, SIFT, 1370, 125, 10.0638, 13.1482, 0, 0
1, SHITOMASI, SIFT, 1301, 118, 9.8891, 13.4738, 112, 0.2555
2, SHITOMASI, SIFT, 1361, 123, 9.7325, 11.7678, 109, 0.1968
3, SHITOMASI, SIFT, 1358, 120, 9.2019, 11.7443, 104, 0.2075
4, SHITOMASI, SIFT, 1333, 120, 11.6879, 10.9239, 103, 0.3501
5, SHITOMASI, SIFT, 1284, 113, 11.5628, 11.2518, 99, 0.2178
6, SHITOMASI, SIFT, 1322, 114, 9.2542, 11.7079, 101, 0.2198
7, SHITOMASI, SIFT, 1366, 123, 9.9447, 11.8649, 96, 0.2258
8, SHITOMASI, SIFT, 1389, 111, 8.3122, 13.0442, 106, 0.195
9, SHITOMASI, SIFT, 1339, 112, 8.9049, 11.3907, 97, 0.197

0, HARRIS, BRISK, 115, 0, 8.9662, 0.1633, 0, 0
1, HARRIS, BRISK, 98, 0, 7.9192, 0.174, 0, 0.0219
2, HARRIS, BRISK, 113, 0, 8.2548, 0.1623, 0, 0.0059
3, HARRIS, BRISK, 121, 0, 13.9292, 0.2431, 0, 0.0077
4, HARRIS, BRISK, 160, 0, 11.5988, 0.2116, 0, 0.0065
5, HARRIS, BRISK, 383, 0, 26.018, 0.2381, 0, 0.0205
6, HARRIS, BRISK, 85, 0, 13.8708, 0.7932, 0, 0.0065
7, HARRIS, BRISK, 210, 0, 19.5684, 0.9621, 0, 0.0066
8, HARRIS, BRISK, 171, 0, 11.8312, 0.3681, 0, 0.0066
9, HARRIS, BRISK, 281, 0, 17.3481, 0.1601, 0, 0.0062

0, HARRIS, BRIEF, 115, 0, 9.1659, 0.1888, 0, 0
1, HARRIS, BRIEF, 98, 0, 12.7857, 0.2019, 0, 0.0194
2, HARRIS, BRIEF, 113, 0, 28.9971, 0.2388, 0, 0.0235
3, HARRIS, BRIEF, 121, 0, 9.7258, 0.227, 0, 0.0051
4, HARRIS, BRIEF, 160, 0, 13.2721, 0.18, 0, 0.0231
5, HARRIS, BRIEF, 383, 0, 23.9625, 0.2965, 0, 0.0262
6, HARRIS, BRIEF, 85, 0, 10.8741, 0.265, 0, 0.0159
7, HARRIS, BRIEF, 210, 0, 16.2273, 0.1954, 0, 0.0062
8, HARRIS, BRIEF, 171, 0, 12.0411, 0.2835, 0, 0.0095
9, HARRIS, BRIEF, 281, 0, 22.627, 0.2198, 0, 0.013

0, HARRIS, ORB, 115, 0, 12.5591, 0.1136, 0, 0
1, HARRIS, ORB, 98, 0, 12.2042, 0.1078, 0, 0.0051
2, HARRIS, ORB, 113, 0, 9.8494, 0.1505, 0, 0.0052
3, HARRIS, ORB, 121, 0, 10.8013, 0.1191, 0, 0.0055
4, HARRIS, ORB, 160, 0, 14.3097, 0.1884, 0, 0.0064
5, HARRIS, ORB, 383, 0, 26.9501, 0.1202, 0, 0.005
6, HARRIS, ORB, 85, 0, 13.6501, 0.1245, 0, 0.0055
7, HARRIS, ORB, 210, 0, 17.4325, 0.2671, 0, 0.0064
8, HARRIS, ORB, 171, 0, 14.4413, 0.2128, 0, 0.0093
9, HARRIS, ORB, 281, 0, 14.1315, 0.1944, 0, 0.006

0, HARRIS, FREAK, 115, 0, 12.1536, 0.0016, 0, 0
1, HARRIS, FREAK, 98, 0, 10.4741, 0.0154, 0, 0.0056
2, HARRIS, FREAK, 113, 0, 10.7255, 0.0019, 0, 0.0107
3, HARRIS, FREAK, 121, 0, 11.1948, 0.0017, 0, 0.0222
4, HARRIS, FREAK, 160, 0, 12.873, 0.0017, 0, 0.0053
5, HARRIS, FREAK, 383, 0, 22.2317, 0.0023, 0, 0.0057
6, HARRIS, FREAK, 85, 0, 10.7238, 0.0022, 0, 0.0241
7, HARRIS, FREAK, 210, 0, 11.2655, 0.0018, 0, 0.0057
8, HARRIS, FREAK, 171, 0, 12.3682, 0.0017, 0, 0.0063
9, HARRIS, FREAK, 281, 0, 14.2954, 0.0018, 0, 0.0057

0, HARRIS, SIFT, 115, 0, 10.6527, 17.9133, 0, 0
1, HARRIS, SIFT, 98, 0, 14.2509, 20.8154, 0, 0.0056
2, HARRIS, SIFT, 113, 0, 11.9374, 21.5243, 0, 0.0066
3, HARRIS, SIFT, 121, 0, 14.1824, 30.7625, 0, 0.0126
4, HARRIS, SIFT, 160, 0, 9.697, 22.0056, 0, 0.006
5, HARRIS, SIFT, 383, 0, 22.5559, 20.027, 0, 0.0242
6, HARRIS, SIFT, 85, 0, 13.3424, 15.9805, 0, 0.006
7, HARRIS, SIFT, 210, 0, 15.3914, 22.1236, 0, 0.0299
8, HARRIS, SIFT, 171, 0, 12.4659, 16.314, 0, 0.0236
9, HARRIS, SIFT, 281, 0, 16.9931, 21.6921, 0, 0.0085

0, FAST, BRISK, 1824, 149, 1.0685, 1.4755, 0, 0
1, FAST, BRISK, 1832, 152, 0.7041, 1.4313, 97, 0.2919
2, FAST, BRISK, 1810, 150, 0.651, 1.306, 104, 0.2567
3, FAST, BRISK, 1817, 155, 0.6185, 1.4255, 101, 0.205
4, FAST, BRISK, 1793, 149, 0.6305, 1.4972, 98, 0.2559
5, FAST, BRISK, 1796, 149, 0.6447, 1.3642, 85, 0.2387
6, FAST, BRISK, 1788, 156, 0.901, 2.3749, 107, 0.3225
7, FAST, BRISK, 1695, 150, 0.6714, 1.5094, 107, 0.2438
8, FAST, BRISK, 1749, 138, 0.7581, 1.2731, 100, 0.2271
9, FAST, BRISK, 1770, 143, 0.6503, 1.2503, 100, 0.202

0, FAST, BRIEF, 1824, 149, 0.6349, 0.5184, 0, 0
1, FAST, BRIEF, 1832, 152, 0.5956, 0.5149, 119, 0.2451
2, FAST, BRIEF, 1810, 150, 0.6087, 0.4877, 130, 0.2519
3, FAST, BRIEF, 1817, 155, 0.6028, 0.8496, 118, 0.2239
4, FAST, BRIEF, 1793, 149, 0.6307, 0.5444, 126, 0.2277
5, FAST, BRIEF, 1796, 149, 0.6102, 0.4819, 108, 0.1959
6, FAST, BRIEF, 1788, 156, 0.6235, 0.5257, 123, 0.2346
7, FAST, BRIEF, 1695, 150, 0.63, 0.5326, 131, 0.2542
8, FAST, BRIEF, 1749, 138, 0.8537, 0.8612, 125, 0.2377
9, FAST, BRIEF, 1770, 143, 0.7943, 1.3081, 119, 0.21

0, FAST, ORB, 1824, 149, 0.6651, 3.4456, 0, 0
1, FAST, ORB, 1832, 152, 0.6836, 3.0472, 122, 0.2233
2, FAST, ORB, 1810, 150, 0.78, 3.0658, 122, 0.2288
3, FAST, ORB, 1817, 155, 0.6451, 3.0645, 115, 0.2324
4, FAST, ORB, 1793, 149, 0.6659, 2.9996, 129, 0.219
5, FAST, ORB, 1796, 149, 0.7697, 2.9707, 107, 0.2167
6, FAST, ORB, 1788, 156, 0.6362, 2.9746, 120, 0.257
7, FAST, ORB, 1695, 150, 0.6863, 2.9847, 126, 0.2253
8, FAST, ORB, 1749, 138, 0.6384, 2.952, 122, 0.2232
9, FAST, ORB, 1770, 143, 0.6672, 2.9622, 118, 0.2251

0, FAST, FREAK, 1824, 149, 0.6592, 31.944, 0, 0
1, FAST, FREAK, 1832, 152, 0.619, 33.842, 97, 0.2814
2, FAST, FREAK, 1810, 150, 0.6657, 35.3756, 98, 0.2467
3, FAST, FREAK, 1817, 155, 0.6829, 33.5436, 94, 0.2537
4, FAST, FREAK, 1793, 149, 0.7172, 34.0933, 99, 0.2384
5, FAST, FREAK, 1796, 149, 0.708, 33.0925, 88, 0.2474
6, FAST, FREAK, 1788, 156, 0.7562, 33.1503, 99, 0.2786
7, FAST, FREAK, 1695, 150, 0.6404, 33.4487, 104, 0.2521
8, FAST, FREAK, 1749, 138, 0.6251, 34.2203, 99, 0.2343
9, FAST, FREAK, 1770, 143, 0.6447, 33.9857, 103, 0.2454

0, FAST, SIFT, 1824, 149, 0.7007, 14.5035, 0, 0
1, FAST, SIFT, 1832, 152, 0.859, 14.9161, 118, 0.2603
2, FAST, SIFT, 1810, 150, 0.6185, 14.389, 123, 0.2376
3, FAST, SIFT, 1817, 155, 0.632, 13.9943, 110, 0.2535
4, FAST, SIFT, 1793, 149, 0.6596, 14.4604, 119, 0.2628
5, FAST, SIFT, 1796, 149, 0.6473, 12.6774, 114, 0.25
6, FAST, SIFT, 1788, 156, 0.8329, 12.6088, 119, 0.2661
7, FAST, SIFT, 1695, 150, 0.5768, 13.114, 123, 0.2848
8, FAST, SIFT, 1749, 138, 0.6246, 12.2723, 117, 0.2842
9, FAST, SIFT, 1770, 143, 0.6534, 14.3356, 103, 0.2743

0, BRISK, BRISK, 2757, 264, 33.6299, 2.5148, 0, 0
1, BRISK, BRISK, 2777, 282, 36.3676, 2.5312, 171, 0.4536
2, BRISK, BRISK, 2741, 282, 31.3961, 2.5011, 176, 0.5109
3, BRISK, BRISK, 2735, 277, 28.9392, 2.5971, 157, 0.5056
4, BRISK, BRISK, 2757, 297, 30.9506, 3.01, 176, 0.5269
5, BRISK, BRISK, 2695, 279, 28.4286, 2.5557, 174, 0.4877
6, BRISK, BRISK, 2715, 289, 36.9799, 2.5747, 188, 0.5953
7, BRISK, BRISK, 2628, 272, 31.9887, 2.7981, 173, 0.492
8, BRISK, BRISK, 2639, 266, 31.4523, 2.4283, 171, 0.4947
9, BRISK, BRISK, 2672, 254, 31.2368, 2.3416, 184, 0.4509

0, BRISK, BRIEF, 2757, 264, 31.2885, 0.8601, 0, 0
1, BRISK, BRIEF, 2777, 282, 31.935, 0.8626, 178, 0.4404
2, BRISK, BRIEF, 2741, 282, 32.7477, 0.9237, 205, 0.4239
3, BRISK, BRIEF, 2735, 277, 31.609, 0.9156, 185, 0.488
4, BRISK, BRIEF, 2757, 297, 32.1978, 0.8989, 179, 0.4657
5, BRISK, BRIEF, 2695, 279, 32.8225, 0.8908, 183, 0.4809
6, BRISK, BRIEF, 2715, 289, 31.1988, 0.9622, 195, 0.5015
7, BRISK, BRIEF, 2628, 272, 30.5256, 0.9192, 207, 0.4716
8, BRISK, BRIEF, 2639, 266, 31.8227, 0.8479, 189, 0.4282
9, BRISK, BRIEF, 2672, 254, 31.665, 0.9007, 183, 0.4193

0, BRISK, ORB, 2757, 264, 31.6268, 10.4871, 0, 0
1, BRISK, ORB, 2777, 282, 32.9661, 10.0049, 160, 0.4825
2, BRISK, ORB, 2741, 282, 31.6436, 10.4858, 171, 0.4893
3, BRISK, ORB, 2735, 277, 31.4267, 10.7338, 157, 0.4337
4, BRISK, ORB, 2757, 297, 31.0935, 9.9635, 170, 0.4729
5, BRISK, ORB, 2695, 279, 31.5375, 10.5378, 154, 0.4786
6, BRISK, ORB, 2715, 289, 32.2943, 11.0649, 180, 0.4572
7, BRISK, ORB, 2628, 272, 30.9596, 11.7229, 171, 0.475
8, BRISK, ORB, 2639, 266, 32.2335, 11.796, 175, 0.4388
9, BRISK, ORB, 2672, 254, 31.1921, 9.8771, 172, 0.4317

0, BRISK, FREAK, 2757, 264, 31.3195, 32.7924, 0, 0
1, BRISK, FREAK, 2777, 282, 31.4685, 32.7785, 160, 0.4634
2, BRISK, FREAK, 2741, 282, 31.8898, 32.4854, 178, 0.433
3, BRISK, FREAK, 2735, 277, 31.1472, 32.6828, 156, 0.4634
4, BRISK, FREAK, 2757, 297, 34.07, 34.5674, 173, 0.4743
5, BRISK, FREAK, 2695, 279, 31.8938, 33.4181, 160, 0.4486
6, BRISK, FREAK, 2715, 289, 32.3841, 33.0535, 183, 0.4731
7, BRISK, FREAK, 2628, 272, 31.2902, 32.9836, 169, 0.4253
8, BRISK, FREAK, 2639, 266, 34.9568, 37.3855, 179, 0.4536
9, BRISK, FREAK, 2672, 254, 29.2612, 30.3983, 168, 0.4221

0, BRISK, SIFT, 2757, 264, 35.1561, 29.0642, 0, 0
1, BRISK, SIFT, 2777, 282, 33.6456, 22.8246, 182, 0.6155
2, BRISK, SIFT, 2741, 282, 33.8692, 24.5705, 193, 0.6147
3, BRISK, SIFT, 2735, 277, 33.047, 24.151, 169, 0.6833
4, BRISK, SIFT, 2757, 297, 33.1951, 23.4037, 183, 0.6233
5, BRISK, SIFT, 2695, 279, 31.9445, 23.6248, 171, 0.6529
6, BRISK, SIFT, 2715, 289, 32.5013, 23.3527, 195, 0.6812
7, BRISK, SIFT, 2628, 272, 30.8594, 23.2719, 194, 0.582
8, BRISK, SIFT, 2639, 266, 31.4203, 22.8546, 176, 0.5838
9, BRISK, SIFT, 2672, 254, 31.3327, 22.985, 183, 0.4921

0, ORB, BRISK, 500, 92, 9.1222, 0.9098, 0, 0
1, ORB, BRISK, 500, 102, 5.4067, 1.0203, 73, 0.1727
2, ORB, BRISK, 500, 106, 5.6815, 1.0326, 74, 0.1837
3, ORB, BRISK, 500, 113, 5.4588, 1.3481, 79, 0.1792
4, ORB, BRISK, 500, 109, 5.8077, 1.0559, 85, 0.183
5, ORB, BRISK, 500, 125, 6.1298, 1.8865, 79, 0.1953
6, ORB, BRISK, 500, 130, 5.4844, 1.3212, 92, 0.1763
7, ORB, BRISK, 500, 129, 6.0929, 1.1867, 90, 0.1957
